Date,Total P&L
2019-12-06,242.5000000000182
2019-12-09,-400.0
2019-12-10,-400.0
2019-12-11,-400.0
2019-12-12,-400.0
2019-12-13,-400.0
2019-12-16,-400.0
2019-12-17,-400.0
2019-12-18,-400.0
2019-12-19,-400.0
2019-12-20,-400.0
2019-12-23,-400.0
2019-12-24,-400.0
2019-12-26,-400.0
2019-12-27,-400.0
2019-12-30,-400.0
2019-12-31,-400.0
2020-01-01,-400.0
2020-01-02,-400.0
2020-01-03,-400.0
2020-01-06,507.5000000000273
2020-01-07,-1554.9999999999727
2020-01-08,-400.0
2020-01-09,-400.0
2020-01-10,-400.0
2020-01-13,-400.0
2020-01-14,-400.0
2020-01-15,-400.0
2020-01-16,-400.0
2020-01-17,-400.0
2020-01-20,844.9999999999818
2020-01-21,-400.0
2020-01-22,-157.4999999999818
2020-01-23,-400.0
2020-01-24,-400.0
2020-01-27,-400.0
2020-01-28,-1244.9999999999818
2020-01-29,-400.0
2020-01-30,-400.0
2020-01-31,-42.50000000001819
2020-02-01,-5455.000000000018
2020-02-03,-1217.5000000000182
2020-02-04,1452.4999999999636
2020-02-05,159.9999999999909
2020-02-06,-400.0
2020-02-07,-400.0
2020-02-10,-400.0
2020-02-11,-400.0
2020-02-12,-400.0
2020-02-13,-400.0
2020-02-14,-392.4999999999727
2020-02-17,-362.5
2020-02-18,-400.0
2020-02-19,-400.0
2020-02-20,-400.0
2020-02-24,29.999999999972715
2020-02-25,-400.0
2020-02-26,-400.0
2020-02-27,-400.0
2020-02-28,25.0
2020-03-02,4244.999999999982
2020-03-03,-3530.000000000018
2020-03-04,-1492.5000000000182
2020-03-05,-400.0
2020-03-06,-620.0000000000273
2020-03-09,2805.000000000018
2020-03-11,-2139.9999999999636
2020-03-12,4926.249999999982
2020-03-13,-11311.250000000018
2020-03-16,-5419.999999999982
2020-03-17,-5993.75
2020-03-18,11656.25
2020-03-19,-5778.749999999991
2020-03-20,-6208.750000000009
2020-03-23,-5753.749999999991
2020-03-24,422.50000000001364
2020-03-25,-6335.000000000014
2020-03-26,4613.749999999982
2020-03-27,4275.0
2020-03-30,-6026.249999999982
2020-03-31,-237.5
2020-04-01,3339.9999999999636
2020-04-03,-295.00000000000455
2020-04-07,5355.000000000018
2020-04-08,-2354.9999999999727
2020-04-09,714.9999999999636
2020-04-13,-1539.9999999999636
2020-04-15,-5742.500000000018
2020-04-16,158.7500000000091
2020-04-17,-3488.749999999982
2020-04-20,-400.0
2020-04-21,-1742.4999999999727
2020-04-22,2387.5
2020-04-23,-76.25000000002728
2020-04-24,-3548.750000000018
2020-04-27,-400.0
2020-04-28,-400.0
2020-04-29,-640.0000000000091
2020-04-30,5.00000000001819
2020-05-04,1352.500000000009
2020-05-05,2696.250000000009
2020-05-06,-377.5000000000091
2020-05-07,-400.0
2020-05-08,-125.0
2020-05-11,268.75
2020-05-12,-1238.7499999999818
2020-05-13,-748.7500000000182
2020-05-14,-400.0
2020-05-15,-400.0
2020-05-18,3726.249999999982
2020-05-19,-3456.25
2020-05-20,888.7500000000273
2020-05-21,-400.0
2020-05-22,-400.0
2020-05-26,-275.0
2020-05-27,3257.499999999982
2020-05-28,-102.5000000000091
2020-05-29,838.7499999999818
2020-06-01,-1803.749999999991
2020-06-02,682.5000000000273
2020-06-03,-1132.4999999999818
2020-06-04,-1521.250000000009
2020-06-05,-400.0
2020-06-08,82.49999999998181
2020-06-09,-5680.000000000018
2020-06-10,-400.0
2020-06-11,786.2499999999727
2020-06-12,3976.249999999982
2020-06-15,-1193.75
2020-06-16,-122.4999999999909
2020-06-17,-2208.750000000009
2020-06-18,2222.499999999991
2020-06-19,-25.0
2020-06-22,-400.0
2020-06-23,-20.000000000027285
2020-06-24,2450.0
2020-06-25,-1494.9999999999818
2020-06-26,-400.0
2020-06-29,-400.0
2020-06-30,-1375.0
2020-07-01,-269.9999999999818
2020-07-02,-400.0
2020-07-03,-400.0
2020-07-06,-400.0
2020-07-07,-400.0
2020-07-08,244.9999999999818
2020-07-09,-400.0
2020-07-10,-400.0
2020-07-13,-1614.9999999999636
2020-07-14,192.5000000000182
2020-07-15,-5602.499999999964
2020-07-16,-482.4999999999818
2020-07-17,642.4999999999727
2020-07-20,-400.0
2020-07-21,-400.0
2020-07-22,-400.0
2020-07-23,-400.0
2020-07-24,-400.0
2020-07-27,-1082.4999999999818
2020-07-28,-292.5000000000182
2020-07-29,94.99999999998181
2020-07-30,1052.500000000009
2020-07-31,-400.0
2020-08-03,312.5
2020-08-04,869.9999999999818
2020-08-05,-1430.0000000000182
2020-08-06,-1519.9999999999818
2020-08-07,-400.0
2020-08-10,-400.0
2020-08-11,-400.0
2020-08-12,-400.0
2020-08-13,-400.0
2020-08-14,752.5000000000091
2020-08-17,-400.0
2020-08-18,-150.0
2020-08-19,-400.0
2020-08-20,-400.0
2020-08-21,-400.0
2020-08-24,-400.0
2020-08-25,-400.0
2020-08-26,-400.0
2020-08-27,-400.0
2020-08-28,-400.0
2020-08-31,7610.000000000036
2020-09-01,-895.0000000000273
2020-09-02,-400.0
2020-09-03,-400.0
2020-09-04,-400.0
2020-09-07,-400.0
2020-09-08,-400.0
2020-09-09,-400.0
2020-09-10,-5.00000000001819
2020-09-11,-400.0
2020-09-14,155.0000000000182
2020-09-15,-400.0
2020-09-16,-400.0
2020-09-17,-400.0
2020-09-18,-1400.0
2020-09-21,4085.0000000000364
2020-09-22,-1012.5
2020-09-23,-479.9999999999727
2020-09-24,1819.9999999999818
2020-09-25,494.9999999999818
2020-09-28,-10.00000000003638
2020-09-29,-400.0
2020-09-30,-400.0
2020-10-01,-400.0
2020-10-05,-400.0
2020-10-06,-400.0
2020-10-07,-722.4999999999909
2020-10-08,-400.0
2020-10-09,-400.0
2020-10-12,-1239.9999999999636
2020-10-13,-400.0
2020-10-14,-400.0
2020-10-15,4829.999999999973
2020-10-16,-400.0
2020-10-19,-400.0
2020-10-20,-400.0
2020-10-21,-2160.0000000000364
2020-10-22,-400.0
2020-10-23,-400.0
2020-10-26,290.0000000000091
2020-10-27,-237.5
2020-10-28,450.0
2020-10-29,-1972.499999999991
2020-10-30,-2375.0
2020-11-02,-2615.000000000009
2020-11-03,-400.0
2020-11-04,-400.0
2020-11-05,-400.0
2020-11-06,27.500000000009095
2020-11-09,-400.0
2020-11-10,37.5
2020-11-11,-4632.499999999982
2020-11-12,-400.0
2020-11-13,-400.0
2020-11-17,-400.0
2020-11-18,-400.0
2020-11-19,-297.5000000000364
2020-11-20,-400.0
2020-11-23,-1950.0
2020-11-24,-400.0
2020-11-25,3962.5
2020-11-26,-5392.500000000018
2020-11-27,-400.0
2020-12-01,-7.49999999998181
2020-12-02,-3075.0
2020-12-03,-400.0
2020-12-04,-310.0000000000364
2020-12-07,-400.0
2020-12-08,-400.0
2020-12-09,-400.0
2020-12-10,-400.0
2020-12-11,-2557.499999999982
2020-12-14,-2407.499999999982
2020-12-15,-400.0
2020-12-16,-400.0
2020-12-17,-400.0
2020-12-18,-400.0
2020-12-21,7577.500000000009
2020-12-22,-5457.499999999982
2020-12-23,1312.5
2020-12-24,-400.0
2020-12-28,-400.0
2020-12-29,-400.0
2020-12-30,-400.0
2020-12-31,-400.0
2021-01-01,-400.0
2021-01-04,-4817.500000000018
2021-01-05,317.4999999999727
2021-01-06,-642.5000000000182
2021-01-07,-635.0000000000364
2021-01-08,-107.50000000002728
2021-01-11,-400.0
2021-01-12,-362.5
2021-01-13,-1165.000000000009
2021-01-14,-400.0
2021-01-15,1157.4999999999818
2021-01-18,825.0
2021-01-19,-140.0000000000091
2021-01-20,-905.0000000000182
2021-01-21,-712.5
2021-01-22,1850.0
2021-01-25,2967.500000000018
2021-01-27,2559.999999999991
2021-01-28,-2255.000000000018
2021-01-29,4214.999999999964
2021-02-01,10707.499999999982
2021-02-02,955.0000000000182
2021-02-03,-712.5
2021-02-04,480.0000000000182
2021-02-05,-2040.000000000009
2021-02-08,-400.0
2021-02-09,-1362.5
2021-02-10,-2429.9999999999727
2021-02-11,-540.0000000000091
2021-02-12,-1967.4999999999727
2021-02-15,-400.0
2021-02-16,-1134.999999999991
2021-02-17,-400.0
2021-02-18,-42.50000000001819
2021-02-19,-1680.0000000000182
2021-02-22,5519.999999999982
2021-02-23,-3767.4999999999727
2021-02-25,-400.0
2021-02-26,5562.5
2021-03-01,-587.5
2021-03-02,334.9999999999909
2021-03-03,1977.500000000009
2021-03-04,-2494.999999999982
2021-03-05,-3292.4999999999727
2021-03-08,-1312.5
2021-03-09,-3650.0
2021-03-10,-400.0
2021-03-12,4197.500000000036
2021-03-15,-805.0000000000182
2021-03-16,-917.5000000000182
2021-03-17,1707.4999999999818
2021-03-18,4605.000000000018
2021-03-19,-5700.0
2021-03-22,-400.0
2021-03-23,-400.0
2021-03-24,1140.000000000009
2021-03-25,1472.499999999991
2021-03-26,-400.0
2021-03-30,1892.5000000000182
2021-03-31,-400.0
2021-04-01,-4515.000000000009
2021-04-05,-597.4999999999909
2021-04-06,-1675.0
2021-04-07,-360.0000000000364
2021-04-08,-400.0
2021-04-09,-400.0
2021-04-12,2952.4999999999636
2021-04-13,755.0000000000182
2021-04-15,-4102.500000000009
2021-04-16,-400.0
2021-04-19,-4330.000000000018
2021-04-20,2407.499999999982
2021-04-22,2580.000000000018
2021-04-23,-2950.0
2021-04-26,-1639.9999999999636
2021-04-27,-230.0000000000182
2021-04-28,34.999999999990905
2021-04-29,400.0
2021-04-30,1047.5000000000364
2021-05-03,1792.5000000000182
2021-05-04,1957.5000000000273
2021-05-05,-400.0
2021-05-06,-400.0
2021-05-07,-400.0
2021-05-10,-400.0
2021-05-11,-400.0
2021-05-12,-534.9999999999909
2021-05-14,-1862.5
2021-05-17,1652.500000000009
2021-05-18,-400.0
2021-05-19,-400.0
2021-05-20,637.5
2021-05-21,1477.500000000009
2021-05-24,-400.0
2021-05-25,-1475.0
2021-05-26,-400.0
2021-05-27,-400.0
2021-05-28,-400.0
2021-05-31,1265.000000000009
2021-06-01,-400.0
2021-06-02,-400.0
2021-06-03,-400.0
2021-06-04,-400.0
2021-06-07,-400.0
2021-06-08,-400.0
2021-06-09,-122.4999999999909
2021-06-10,-400.0
2021-06-11,-400.0
2021-06-14,-4619.999999999982
2021-06-15,-400.0
2021-06-16,-400.0
2021-06-17,-400.0
2021-06-18,-2297.499999999991
2021-06-21,2625.0
2021-06-22,-400.0
2021-06-23,585.0000000000364
2021-06-24,-400.0
2021-06-25,-400.0
2021-06-28,-400.0
2021-06-29,-400.0
2021-06-30,-400.0
2021-07-01,-400.0
2021-07-02,-400.0
2021-07-05,-400.0
2021-07-06,-400.0
2021-07-07,-400.0
2021-07-08,654.9999999999727
2021-07-09,-400.0
2021-07-12,-1244.9999999999818
2021-07-13,-400.0
2021-07-14,-400.0
2021-07-15,-400.0
2021-07-16,-400.0
2021-07-19,-400.0
2021-07-20,-1080.0000000000182
2021-07-22,-400.0
2021-07-23,-400.0
2021-07-26,-400.0
2021-07-27,175.0
2021-07-28,-3665.000000000009
2021-07-29,-400.0
2021-07-30,-400.0
2021-08-02,-400.0
2021-08-03,2452.500000000009
2021-08-04,-400.0
2021-08-05,-400.0
2021-08-06,-400.0
2021-08-09,-2227.500000000009
2021-08-10,-400.0
2021-08-11,-1847.499999999991
2021-08-12,-400.0
2021-08-13,-52.49999999996362
2021-08-16,-400.0
2021-08-17,-400.0
2021-08-18,-277.50000000005457
2021-08-20,-400.0
2021-08-23,-1094.9999999999818
2021-08-24,-1025.0
2021-08-25,-400.0
2021-08-26,-400.0
2021-08-27,-400.0
2021-08-30,435.0000000000364
2021-08-31,1315.0000000000546
2021-09-01,-237.5
2021-09-02,282.4999999999818
2021-09-03,-400.0
2021-09-06,-400.0
2021-09-07,-1804.9999999999272
2021-09-08,-400.0
2021-09-09,-400.0
2021-09-13,-400.0
2021-09-14,-400.0
2021-09-15,207.4999999999818
2021-09-16,-400.0
2021-09-17,579.9999999999272
2021-09-20,-5182.499999999982
2021-09-21,-5567.499999999927
2021-09-22,-400.0
2021-09-23,1107.4999999999818
2021-09-24,-877.5000000000546
2021-09-27,-1525.0
2021-09-28,437.5
2021-09-29,-785.0000000000364
2021-09-30,-109.99999999994543
2021-10-01,-400.0
2021-10-04,-1202.4999999999636
2021-10-05,1187.5
2021-10-06,2987.5
2021-10-07,-400.0
2021-10-08,-400.0
2021-10-11,-1269.9999999999818
2021-10-12,-400.0
2021-10-13,-782.4999999999818
2021-10-14,-400.0
2021-10-18,-400.0
2021-10-19,-197.49999999994543
2021-10-20,280.0000000000182
2021-10-21,557.5000000000728
2021-10-22,-10.00000000003638
2021-10-25,-2687.5
2021-10-26,-109.99999999994543
2021-10-27,-400.0
2021-10-28,4880.000000000018
2021-10-29,-5952.500000000055
2021-11-01,-5709.999999999945
2021-11-02,-50.0
2021-11-03,504.99999999992724
2021-11-08,-5447.500000000036
2021-11-09,-400.0
2021-11-10,-1384.9999999999454
2021-11-11,-1772.4999999999454
2021-11-12,410.0000000000364
2021-11-15,-782.4999999999818
2021-11-16,-400.0
2021-11-17,-400.0
2021-11-18,1202.4999999999636
2021-11-22,3330.000000000018
2021-11-23,1727.4999999999636
2021-11-24,642.5000000000182
2021-11-25,297.49999999994543
2021-11-26,4505.000000000018
2021-11-29,-5697.500000000036
2021-11-30,-5750.0
2021-12-01,-3047.4999999999454
2021-12-02,1900.0
2021-12-03,3969.999999999982
2021-12-06,3650.0
2021-12-07,312.5
2021-12-08,-417.5000000000182
2021-12-09,-2575.0
2021-12-10,-400.0
2021-12-13,2762.5
2021-12-14,-1655.0000000000182
2021-12-15,-60.00000000003638
2021-12-16,-975.0
2021-12-17,2817.500000000018
2021-12-21,-2114.9999999999636
2021-12-22,-400.0
2021-12-23,-400.0
2021-12-24,-875.0
2021-12-27,2434.9999999999454
2021-12-28,-400.0
2021-12-29,-400.0
2021-12-30,-400.0
2021-12-31,-400.0
2022-01-03,1392.5000000000182
2022-01-04,59.99999999994543
2022-01-05,-327.50000000005457
2022-01-06,-2094.999999999982
2022-01-07,-3077.4999999999636
2022-01-10,-400.0
2022-01-11,-400.0
2022-01-12,-400.0
2022-01-13,-400.0
2022-01-14,-365.00000000005457
2022-01-17,-400.0
2022-01-18,2022.5000000000364
2022-01-19,-667.5000000000182
2022-01-20,265.00000000005457
2022-01-21,-5560.000000000036
2022-01-24,7137.5
2022-01-25,6272.499999999945
2022-01-27,-5554.999999999927
2022-01-28,-5670.000000000073
2022-01-31,-400.0
2022-02-01,-6475.0
2022-02-02,-400.0
2022-02-03,2772.5000000000364
2022-02-04,-400.0
2022-02-07,4255.000000000018
2022-02-08,-2450.0
2022-02-09,-400.0
2022-02-10,-5495.000000000073
2022-02-11,-1694.9999999999818
2022-02-14,1887.5
2022-02-15,-5635.000000000036
2022-02-16,169.9999999999818
2022-02-17,-362.5
2022-02-18,-2365.0000000000546
2022-02-21,-5714.999999999964
2022-02-22,450.0
2022-02-23,594.9999999999818
2022-02-24,8235.000000000036
2022-02-25,-310.0000000000364
2022-02-28,5239.999999999964
2022-03-02,-3740.0000000000546
2022-03-03,3247.4999999999454
2022-03-04,-5900.0
2022-03-07,-3247.499999999991
2022-03-08,-5607.499999999982
2022-03-09,3577.500000000009
2022-03-10,-1415.0000000000546
2022-03-11,-287.5
2022-03-14,1282.4999999999818
2022-03-15,3719.999999999982
2022-03-16,-400.0
2022-03-17,-510.0000000000364
2022-03-21,1862.5
2022-03-22,2652.4999999999636
2022-03-23,1835.0000000000364
2022-03-24,-1287.5
2022-03-25,-1667.4999999999272
2022-03-28,-5272.500000000036
2022-03-29,-400.0
2022-03-30,-890.0000000000546
2022-03-31,-1162.5
2022-04-01,3120.0000000000728
2022-04-04,2919.999999999982
