Date,Total P&L
2019-07-04,0.0
2019-07-05,1682.4999999999818
2019-07-08,1080.0000000000182
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,0.0
2019-07-18,0.0
2019-07-19,2542.500000000018
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,-547.4999999999909
2019-07-25,0.0
2019-07-26,0.0
2019-07-29,30.00000000001819
2019-07-30,-44.99999999998181
2019-07-31,0.0
2019-08-01,-1317.5000000000182
2019-08-02,-742.4999999999727
2019-08-05,0.0
2019-08-06,-1207.4999999999818
2019-08-07,0.0
2019-08-08,902.5000000000091
2019-08-09,-1532.4999999999818
2019-08-13,1397.499999999991
2019-08-14,-1395.0000000000273
2019-08-16,-400.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,1114.9999999999636
2019-08-23,1667.5000000000182
2019-08-26,-5444.999999999982
2019-08-27,0.0
2019-08-28,-1404.9999999999727
2019-08-29,0.0
2019-08-30,-3700.0
2019-09-03,1097.499999999991
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-09,100.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,297.4999999999909
2019-09-16,0.0
2019-09-17,1084.999999999991
2019-09-18,0.0
2019-09-19,69.99999999998181
2019-09-20,11039.999999999964
2019-09-24,0.0
2019-09-25,-422.5000000000364
2019-09-26,-372.4999999999909
2019-09-27,0.0
2019-09-30,0.0
2019-10-01,1712.5
2019-10-03,0.0
2019-10-04,2552.500000000009
2019-10-07,0.0
2019-10-09,2125.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-14,0.0
2019-10-15,-707.4999999999818
2019-10-16,0.0
2019-10-17,767.5000000000182
2019-10-18,-44.99999999998181
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,-394.9999999999818
2019-10-25,0.0
2019-10-29,1455.0000000000182
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,-807.4999999999818
2019-11-07,0.0
2019-11-08,0.0
2019-11-11,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-25,985.0000000000364
2019-11-26,-310.0000000000364
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,642.5000000000182
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-23,0.0
2019-12-24,0.0
