Date,Total P&L
2019-04-30,-986.3900000000001
2019-05-02,-986.4300000000001
2019-05-03,-986.7649999999999
2019-05-06,-979.71
2019-05-07,75.35999999998239
2019-05-08,-971.6400000000001
2019-05-09,-965.9649999999999
2019-05-10,-966.8199999999997
2019-05-13,-994.9999999999818
2019-05-14,-846.5400000000091
2019-05-15,-850.2799999999997
2019-05-16,-881.0999999999904
2019-05-17,16.340000000018335
2019-05-20,619.4949999999635
2019-05-21,-47.51000000001841
2019-05-22,-984.335
2019-05-23,-6419.25
2019-05-24,-5226.18
2019-05-27,-1266.3899999999996
2019-05-28,-996.04
2019-05-29,-995.9150000000001
2019-05-30,-993.7850000000001
2019-05-31,-3345.040000000027
2019-06-03,373.4799999999818
2019-06-04,-1002.6500000000001
2019-06-06,432.31499999998186
2019-06-07,-991.8100000000002
2019-06-10,-997.835
2019-06-11,-997.69
2019-06-12,-996.4000000000001
2019-06-13,-993.475
2019-06-14,-995.0749999999998
2019-06-17,-140.14999999999964
2019-06-18,-985.185
2019-06-19,-2325.545
2019-06-20,634.0550000000176
2019-06-21,-989.0450000000001
2019-06-24,-987.5749999999999
2019-06-25,-327.8549999999814
2019-06-26,-989.0200000000002
2019-06-27,-993.4200000000001
2019-06-28,-993.2900000000002
2019-07-01,-992.5899999999999
2019-07-02,-993.375
2019-07-03,-995.02
2019-07-04,-996.7649999999999
2019-07-05,683.5499999999815
2019-07-08,94.29000000001815
2019-07-09,-974.4099999999999
2019-07-10,-977.5599999999997
2019-07-11,-976.98
2019-07-12,-979.9900000000001
2019-07-15,-978.6850000000001
2019-07-16,-978.9000000000003
2019-07-17,-982.81
2019-07-18,-983.25
2019-07-19,1561.0250000000178
2019-07-22,-968.2200000000001
2019-07-23,-967.7399999999999
2019-07-24,-1515.2299999999914
2019-07-25,-963.835
2019-07-26,-962.4749999999999
2019-07-29,-934.8549999999814
2019-07-30,-1004.8799999999819
2019-07-31,-952.1100000000004
2019-08-01,-2269.625000000018
2019-08-02,-1688.5049999999728
2019-08-05,-942.6600000000001
2019-08-06,-2151.3099999999813
2019-08-07,-947.2600000000002
2019-08-08,-42.774999999990996
2019-08-09,-2485.889999999982
2019-08-13,443.62499999999136
2019-08-14,-2343.325000000027
2019-08-16,-1347.835
2019-08-19,-955.31
2019-08-20,-952.1100000000001
2019-08-21,-950.1499999999999
2019-08-22,170.69499999996333
2019-08-23,733.9400000000187
2019-08-26,-6392.149999999981
2019-08-27,-954.5749999999999
2019-08-28,-2359.5799999999726
2019-08-29,-949.5
2019-08-30,-4649.54
2019-09-03,151.47499999999036
2019-09-04,-940.4749999999999
2019-09-05,-944.4900000000001
2019-09-06,-943.9850000000004
2019-09-09,-844.8099999999995
2019-09-11,-951.1700000000001
2019-09-12,-953.165
2019-09-13,-651.0050000000092
2019-09-16,-950.9100000000001
2019-09-17,136.42499999999063
2019-09-18,-943.335
2019-09-19,-870.4000000000178
2019-09-20,10104.269999999964
2019-09-24,-979.4850000000001
2019-09-25,-1399.0200000000366
2019-09-26,-1347.0949999999912
2019-09-27,-976.02
2019-09-30,-974.635
2019-10-01,735.3350000000005
2019-10-03,-963.75
2019-10-04,1583.7600000000093
2019-10-07,-958.8549999999998
2019-10-09,1168.6149999999998
2019-10-10,-964.0250000000001
2019-10-11,-964.425
2019-10-14,-966.69
2019-10-15,-1675.259999999982
2019-10-16,-973.1400000000001
2019-10-17,-204.9849999999824
2019-10-18,-1023.0299999999816
2019-10-22,-983.4850000000004
2019-10-23,-979.56
2019-10-24,-1378.3199999999815
2019-10-25,-979.415
2019-10-29,473.22500000001764
2019-10-30,-991.0749999999999
2019-10-31,-994.405
2019-11-01,-994.21
2019-11-04,-997.1499999999999
2019-11-05,-997.095
2019-11-06,-1802.0999999999815
2019-11-07,-999.94
2019-11-08,-998.7000000000005
2019-11-11,-994.09
2019-11-13,-995.3600000000004
2019-11-14,-991.7200000000001
2019-11-15,-995.4350000000002
2019-11-18,-996.5749999999999
2019-11-19,-994.8750000000002
2019-11-20,-998.865
2019-11-21,-999.8400000000001
2019-11-22,-997.7399999999999
2019-11-25,-11.87999999996373
2019-11-26,-1316.1350000000366
2019-11-27,-1004.4499999999999
2019-11-28,-1006.0500000000002
2019-11-29,-1005.8050000000003
2019-12-02,-1003.8999999999999
2019-12-03,-1001.66
2019-12-04,-997.9349999999995
2019-12-05,-1002.9749999999999
2019-12-06,-359.7949999999819
2019-12-09,-996.5
2019-12-10,-996.6099999999999
2019-12-11,-994.025
2019-12-12,-997.46
2019-12-13,-1002.1100000000001
2019-12-16,-1006.1350000000002
2019-12-17,-1003.7999999999993
2019-12-18,-1008.8400000000001
2019-12-19,-1010.3850000000002
2019-12-20,-1012.8899999999999
2019-12-23,-1012.8800000000001
2019-12-24,-1013.4200000000001
2019-12-26,-1011.0249999999999
2019-12-27,-1008.7049999999999
2019-12-30,-1013.7
2019-12-31,-1011.75
2020-01-01,-1010.34
2020-01-02,-1010.5199999999998
2020-01-03,-1011.895
2020-01-06,-99.179999999973
2020-01-07,-2161.009999999973
2020-01-08,-997.4449999999997
2020-01-09,-1007.9749999999999
2020-01-10,-1012.9099999999999
2020-01-13,-1015.765
2020-01-14,-1015.465
2020-01-15,-1016.325
2020-01-16,-1018.1750000000001
2020-01-17,-1016.5600000000002
2020-01-20,225.95499999998174
2020-01-21,-1008.29
2020-01-22,-768.4499999999816
2020-01-23,-1005.0800000000002
2020-01-24,-1009.46
2020-01-27,-1009.4749999999997
2020-01-28,-1851.509999999982
2020-01-29,-1005.825
2020-01-30,-1004.9350000000004
2020-01-31,-646.2250000000186
2020-02-01,-6050.260000000018
2020-02-03,-1799.9200000000183
2020-02-04,862.599999999964
2020-02-05,-438.2500000000091
2020-02-06,-1006.64
2020-02-07,-1005.9250000000002
2020-02-10,-1003.6850000000001
2020-02-11,-1006.415
2020-02-12,-1009.0550000000001
2020-02-13,-1009.3399999999999
2020-02-14,-1003.7049999999726
2020-02-17,-970.1000000000004
2020-02-18,-999.86
2020-02-19,-1004.6100000000001
2020-02-20,-1005.1800000000002
2020-02-24,-567.1150000000271
2020-02-25,-991.8900000000002
2020-02-26,-985.6100000000001
2020-02-27,-981.8499999999999
2020-02-28,-541.5900000000001
2020-03-02,3673.599999999982
2020-03-03,-4094.7250000000186
2020-03-04,-2058.7150000000183
2020-03-05,-966.1700000000001
2020-03-06,-1164.200000000027
2020-03-09,2271.6100000000183
2020-03-11,-2660.6949999999633
2020-03-12,4428.567499999983
2020-03-13,-11753.737500000017
2020-03-16,-5894.399999999981
2020-03-17,-6448.6475
2020-03-18,11200.214999999998
2020-03-19,-6178.147499999991
2020-03-20,-6624.595000000009
2020-03-23,-6154.047499999991
2020-03-24,24.14750000001368
2020-03-25,-6729.730000000013
2020-03-26,4196.354999999983
2020-03-27,3826.02
2020-03-30,-6446.419999999982
2020-03-31,-660.6199999999999
2020-04-01,2914.522499999964
2020-04-03,-704.935000000005
2020-04-07,4933.040000000017
2020-04-08,-2790.8074999999726
2020-04-09,267.2424999999639
2020-04-13,-1993.0149999999637
2020-04-15,-6199.875000000018
2020-04-16,-285.02499999999145
2020-04-17,-3953.4174999999823
2020-04-20,-864.5699999999999
2020-04-21,-2193.9024999999724
2020-04-22,1939.1724999999992
2020-04-23,-535.7100000000273
2020-04-24,-4008.3175000000183
2020-04-27,-865.6175000000002
2020-04-28,-868.1975000000002
2020-04-29,-1111.7475000000095
2020-04-30,-482.112499999982
2020-05-04,877.997500000009
2020-05-05,2224.400000000009
2020-05-06,-835.8225000000093
2020-05-07,-860.2149999999999
2020-05-08,-593.3225000000002
2020-05-11,-199.6800000000003
2020-05-12,-1695.367499999982
2020-05-13,-1222.5200000000186
2020-05-14,-860.9475
2020-05-15,-856.1600000000001
2020-05-18,3271.687499999982
2020-05-19,-3901.4525000000003
2020-05-20,442.54750000002787
2020-05-21,-855.0
2020-05-22,-852.5125
2020-05-26,-732.3599999999997
2020-05-27,2804.152499999982
2020-05-28,-571.1675000000096
2020-05-29,367.9949999999817
2020-06-01,-2291.942499999991
2020-06-02,190.43000000002758
2020-06-03,-1639.759999999982
2020-06-04,-2025.8800000000092
2020-06-05,-905.0750000000003
2020-06-08,-432.47500000001764
2020-06-09,-6189.285000000018
